question,option1,option2,option3,option4,year,level,shift,answer,topic,subtopic
Find the value of the following expression:$$\frac{4\frac{1}{3}+3\frac{1}{3}\times1\frac{4}{5}\div3\frac{3}{4}\times\left(6\frac{1}{4}\right) of 1\frac{1}{15}}{\frac{2}{3}\div\frac{5}{6}\times\frac{2}{3}}$$,$$28\frac{1}{8}$$,$$\frac{1}{8}$$,$$289\frac{3}{8}$$,$$12\frac{1}{2}$$,2022,E,21st April Shift 1,A,Arithmetic,Simplification
"Find the smallest number which should be added to the smallest number divisible by 6, 9 and 15 to make it a perfect square.",10,9,19,21,2022,M,21st April Shift 1,A,Arithmetic,Divisibility & Remainder
"If $$5x-\frac{1}{4x} = 6, x > 0$$, then find the value of $$25x^{2}-\frac{1}{16x^{2}}$$",$$6\sqrt{41}$$,36,$$\sqrt{246}$$,$$6\sqrt{31}$$,2022,E,21st April Shift 1,A,Algebra,Identities
"A and B working alone can complete a work in 8 days and 12 days. respectively. They started working together, but A left 2 days before completion of the work. In how many days was the work completed?",6,5,8,10,2022,E,21st April Shift 1,A,Arithmetic,Time & Work
The sides of a triangular field are 360 m. 480 m and 600 m. Its area is equal to the area of a square field . What is the side (in m) of the square field?,$$120\sqrt{6}$$,$$160\sqrt{6}$$,$$160\sqrt{3}$$,$$120\sqrt{3}$$,2022,E,21st April Shift 1,A,Mensuration,Plane Figures
"The breakup of the total number of employees of a company working in different offices (A to E), in degrees, is given in the pie chart.
Total number of employees = 2400.                                                                                                                                                                                                                          https://cracku.in/media/uploads/image_w8Cf3Ek.png                                                                                                                                                                                           If 40%, of the number of employees in office A are shifted equally to office B and E, then what will be the sum of the number of employees in B and C?",648,735,545,72,2022,E,21st April Shift 1,A,Data Interpretation,Pie Chart
The following histogram shows the marks scored by 40 students in a test of 30 marks. A student has to score a minimum of 10 marks to pass the test.  https://cracku.in/media/uploads/image_375o3cR.png                                                                                                                                                                                      What is the percentage of students who passed the test?,75%,30%,72%,66.66%,2022,E,21st April Shift 1,A,Data Interpretation,Histogram
"If 35 men can finish a work in 6 days, then in how many days can 7 men do half of the same work?",60,15,30,17,2022,M,21st April Shift 3,B,Arithmetic,Time & Work
"Monthly expenditure of a family on different heads is shown in the following pie chart. The family earns ₹1,08,000 every month.
What is the amount spent on Rent every month (in ₹)?
https://cracku.in/media/uploads/image_MloI8cB.png","17,500","18,000","21,000","15,000",2022,E,21st April Shift 3,B,Data Interpretation,Pie Chart
"In a circle with centre O, PQ and QR are two chords such that $$\angle PQR = 118^{\circ}$$. What is the measure of $$\angle$$ OPR?",$$31^{\circ}$$,$$28^{\circ}$$,$$36^{\circ}$$,$$26^{\circ}$$,2022,E,21st April Shift 3,B,Geometry,"Circles,Chords & Tangents"
"Ras Bihari, a plumber, earned on an average ₹925 per day in the month of January. He earned on an average ₹881 per day during the first 20 days and ₹915 per day during the last 20 days. What was his average income (in ₹) per day from 12th January to $$20^{th}$$ January?",800,805,875,795,2022,E,21st April Shift 3,B,Arithmetic,Average
"If $$\tan A = \frac{2.4}{0.7}$$, what is the value of $$\left(50\cos A + 24 \cot A\right)$$",26,21,37,34,2022,M,21st April Shift 3,B,Algebra,Identities
"The following bar graph shows exports of cars of type A and B (in ₹ millions) from 2014 to 2018. Study the graph and answer the question that follows.
Exports of Cars of Type A and B (in ₹ millions) during 2014 to 2018.
https://cracku.in/media/uploads/image_f2eEmbX.png                                                                                                                                                                                      The total exports of cars of type A in 2014 to 2018 is what per cent more than the total exports of cars of type B in 2015 to 2017? (Correct to one decimal place)",44.30%,51.70%,50.40%,41.30%,2022,M,21st April Shift 3,B,Data Interpretation,Bar Graph
The distance between two towns is covered in 7 hours at a speed of 50 km/h. By how much should the speed (in km/h) be increased so that 2 hours of travelling time will be saved?,20,40,70,30,2022,H,20th April Shift 3,A,Arithmetic,"Speed, Time & Distance"
"A person bought a book at 31% discount on its printed price. If no discount was given, then he would have to pay ₹2,480 more. How much did he pay (in ₹) for the book?","5,520","8,000","4,560","7,000",2022,M,20th April Shift 3,A,Arithmetic,Discount
The value of $$\frac{5\cos^{2}62^{\circ}+5\cos^{2}28^{\circ}-21}{7\sin^{2}35^{\circ}+7\sin^{2}55^{\circ}+1}$$,-2,-3,2,3,2022,E,20th April Shift 3,A,Trigonometry,Trigonometric Ratios and Identities
" In a triangle ABC, angle A = 68. If 'I' is incentre, then find out the measure of angle BIC.",$$124^{\circ}$$,$$68^{\circ}$$,$$56^{\circ}$$,$$112^{\circ}$$,2022,M,20th April Shift 3,A,Geometry,Triangles
"Performance of 1800 students in grades has been shown in the following pie chart.
How many more students have obtained grade B than those who have obtained grade C?
https://cracku.in/media/uploads/image_qtSPVsU.png",54,3,60,50,2022,M,20th April Shift 3,A,Data Interpretation,Pie Chart
The length of the body diagonal of a cube is $$8\sqrt{3}$$ cm. What is the volume (in $$cm^{3}$$) of the cube?,512,343,216,729,2022,E,20th April Shift 3,A,Mensuration,Solid Figures
"If $$\tan B = \frac{5}{3}$$, what is the value of $$\frac{cosec B + \sin B}{\cos B - \sec B}$$?",$$-\frac{177}{125}$$,$$-\frac{59}{15}$$,$$\frac{59}{15}$$,$$\frac{177}{125}$$,2022,E,20th April Shift 2,A,Trigonometry,Trigonometric Ratios and Identities
"A shopkeeper offers a discount of 18% on a machine and sells it for ₹48,380. If he does not offer the discount, he will get a profit of 18%. What is the cost price (in ₹) of the machine?","50,000","48,500","55,000","59,000",2022,E,20th April Shift 2,A,Arithmetic,Discount
The value of$$25\div10-\left(\frac{7}{4}\times\frac{1}{3}\right) of \frac{6}{5} + \frac{14}{3}\times\frac{9}{10} + \left(\frac{1}{5}\div\frac{1}{25}\right)$$ is:,11,7,15,9,2022,E,20th April Shift 2,A,Algebra,Identities
"A and B are two points on the same side of a ground, 50 metres apart. The angles of elevation of these points to the top of a tree are $$60^{\circ}$$ and $$30^{\circ}$$ respectively. What is 40% of the height of the tree (in m)?",$$10\sqrt{3}$$,$$15\sqrt{3}$$,$$5\sqrt{3}$$,$$25\sqrt{3}$$,2022,M,20th April Shift 2,A,Trigonometry,Height & Distance
A reduction of 20% in the price of bananas enables a customer to buy 6 more bananas for ₹80. What is the reduced price of bananas per dozen (in ₹?,32,35,36,40,2022,E,20th April Shift 2,A,Arithmetic,Profit & Loss
"The least number which should be added to 3627 so that the sum is exactly divisible by 4, 5, 6 and 8 is:",93,39,27,72,2022,E,20th April Shift 2,A,Arithmetic,Divisibility & Remainder
A fruit vendor recovers the cost of 95 oranges by selling 80 oranges. What is his profit perpcentage?,18.75%,20.75%,21.25%,24.25%,2022,E,20th April Shift 2,A,Arithmetic,Profit & Loss
"The given bar chart represents the number of Televisions Sets (TV) manufactured (in thousands) and the respective percentage of those TV Sets sold by five different companies A, B, C, D and E in 2015.
Study the chart carefully and answer the question that follows.
https://cracku.in/media/uploads/image_vskAYh4.png
The average number of TV sets sold by companies C and D is what percentage of the number of TV sets manufactured by company E? Express your answer correct to one place of decimal.",90.50%,86.50%,89.10%,92.20%,2022,H,20th April Shift 1,A,Data Interpretation,Bar Graph
"Points A and B are on a circle with centre O. PA and PB are tangents to the circle from an external point P. If PA and PB are inclined to each other at $$42^{\circ}$$, then find the measure of $$\angle$$ OAB.",$$21^{\circ}$$,$$69^{\circ}$$,$$42^{\circ}$$,$$25^{\circ}$$,2022,M,20th April Shift 1,A,Geometry,"Circles,Chords & Tangents"
"Numbers A and B are 0% and 50%, respectively, more than the number C. The ratio of A to that of B is:",13:15,04:05,15:13,05:04,2022,H,20th April Shift 1,A,Arithmetic,Ratio & Proportion
"In a circle with centre O, PA and PB are tangents to the circle at point A and point B, respectively. C is a point on the major are AB. If $$\angle ACB = 50^{\circ}$$, then find the measure of $$\angle$$ APB.",$$80^{\circ}$$,$$90^{\circ}$$,$$50^{\circ}$$,$$100^{\circ}$$,2022,E,20th April Shift 1,A,Geometry,"Circles,Chords & Tangents"
"Study the given bar graph and answer the question that follows.
The bar graph shows the exports of cars of type A and B (in ₹ millions) from 2014 to 2018.
https://cracku.in/media/uploads/image_5yujOce.png                                                                                                                                                                                       The total exports of cars of type A from 2014 to 2016 is approximately what percentage less than the total exports of  cars of type B from 2015 to 2017 (correct to one decimal place)?",13.80%,10.40%,11.30%,11.70%,2022,M,20th April Shift 1,A,Data Interpretation,Bar Graph
"If $$\left(0.4x+\frac{1}{x}\right)=5$$, what is the value of $$0.064x^{3}+\frac{1}{x^{3}}$$?",119,125,110,105,2022,M,20th April Shift 1,A,Algebra,Identities
Simplify the following expression: $$cosec^{4} A\left(1 - \cos^{4} A \right) - 2 \cot^{2} A - 1$$,0,$$\cos^{2} A$$,$$cosec^{2} A$$,1,2022,E,20th April Shift 1,A,Algebra,Identities
"A circle is circumscribed on a quadrilateral ABCD. If $$\angle DAB = 100^{\circ}$$, $$\angle ADB = 35^{\circ}$$ and $$\angle CDB = 40^{\circ}$$, then find the measure of $$\angle$$ DBC .",$$45^{\circ}$$,$$60^{\circ}$$,$$35^{\circ}$$,$$40^{\circ}$$,2022,M,20th April Shift 3,B,Mensuration,Plane Figures
"In a right-angled triangle PQR, $$\angle Q = 90^{\circ}$$. A and B are the mid-points of PQ and PR, respectively. If PQ = 16 cm, QR= 30 cm and PR= 34 cm, what is perimeter (in cm) of the trapezium ABRQ?",65,70,80,40,2022,E,20th April Shift 3,B,Geometry,Triangles
"If a+b+c = 6 , $$a^{2} + b^{2} + c^{2} = 32$$, and $$a^{3} + b^{3}+ c^{3} = 189$$, then the value of 4abc is:",9,12,8,16,2022,M,20th April Shift 3,B,Algebra,Identities
"A ladder of length 3.5 m just reaches the top of a wall. If the ladder makes an angle of $$60^{\circ}$$ with the wall, then what is the height of the wall (in m)?",$$\frac{7\sqrt{3}}{4}$$,1.75,$$3.5\sqrt{3}$$,$$\frac{3.5}{\sqrt{3}}$$,2022,H,20th April Shift 3,B,Trigonometry,Height & Distance
"The value of $$\left(\frac{1-\cot \theta}{1-\tan \theta}\right)^{2}$$ + 1, if $$0^{\circ} < \theta < 90^{\circ}$$ , is equal to:",$$\cos^{2} \theta$$,$$cosec^{2} \theta$$,$$\sin^{2} \theta$$,$$\sec^{2} \theta$$,2022,E,20th April Shift 3,B,Trigonometry,Trigonometric Ratios and Identities
"The given histogram represents the marks of students in Mathematics test of a certain class.
The total number of students is 350 and the maximum marks of the test are 200.
Study the graph and answer the question that follows .
https://cracku.in/media/uploads/image_8HfAhge.png                                                                                                                                                                                       The total number of students whose marks are less than 100 is what percentage (correct up to one place of decimal) less than the total number of students whose marks are 120 and above?",43.20%,36.60%,51.80%,32.70%,2022,M,19th April Shift 3,A,Data Interpretation,Histogram
"20 men can finish a work in 30 days. They started working, but 4 men left the work after 10 days. In how many days would the work be completed?",35,25,30,28,2022,E,19th April Shift 3,A,Arithmetic,Time & Work
"Two successive discounts of 20% and 25% on the marked price of an article are equal to a single discount of ₹250. If the marked price of the article is 25% above the cost price, the cost price (in ₹) of the article is:",500,600,550,450,2022,E,19th April Shift 3,A,Arithmetic,Discount
A shopkeeper bought 60 pencils at a rate of 4 for ₹5 and another 60 pencils at a rate of 2 for ₹3. He mixed all the pencils and sold them at a rate of 3 for ₹4. Find his gain or loss percentage.,Loss $$3\frac{1}{33}\%$$,Profit $$2\frac{7}{8}\%$$,Loss $$2\frac{7}{8}\%$$,Profit $$3\frac{1}{8}\%$$,2022,M,19th April Shift 3,A,Arithmetic,Profit & Loss
"If a + b + c = 11 and ab + bc + ca = 28 , then find the value of $$a^{3} + b^{3} + c^{3} - 3abc$$.",407,2255,1639,1093,2022,E,19th April Shift 3,A,Algebra,Identities
A car covers a distance of 90 km in 50 min What is its speed (in m/s)?,30,108,60,90,2022,E,19th April Shift 2,A,Arithmetic,"Speed, Time & Distance"
"If $$a^{2} + b^{2}+ 49c^{2} + 18 = 2\left(b + 28c - a\right)$$, then the value of ( 2a - b + 7 c) is:",1,-3,-4,5,2022,E,19th April Shift 2,A,Algebra,Identities
"The following pie-charts show the number of students studying in different departments of an institute during the academic years 2019 and 2020. The total number of students was 2000 and 2400, respectively, in academic years 2019 and 2020.
What is the ratio of the number of students studying science in the year 2019 to that in the year 2020?
https://cracku.in/media/uploads/image_GB8exTM.png",15:19,20:21,18:19,14:15,2022,M,19th April Shift 2,A,Data Interpretation,Pie Chart
"Two similar jugs have their heights of 8 cm and 12 cm, respectively. If the capacity of the smaller jug is 80 $$cm^{3}$$, what is the capacity of the bigger jug (in $$cm^{3}$$)?",270,216,192,120,2022,M,19th April Shift 2,A,Mensuration,Solid Figures
"A is 120% of B and B is 65% of C. If the sum of A, B and C is 12 1.5, then the value of C - 2B + A is:",24,14,39,35,2022,E,19th April Shift 2,A,Arithmetic,Percentage
"The compound interest on a certain sum of money at 21% p.a. for 2 years is ₹11,138.40 (interest compounded yearly). The total amount received (in ₹) after 2 years is:","35,138.40","40,00.50","28,315.40","31,538.40",2022,H,19th April Shift 2,A,Arithmetic,SI & CI
"Chords AB and CD of a circle intersect externally at P. If AB = 7 cm, CD = 1 cm and PD = 5 cm, then 50% of the length of PA (in cm) is:",5,10,8,3,2022,M,19th April Shift 2,A,Geometry,"Circles,Chords & Tangents"
The circumcentre of an equilateral triangle is at a distance of 3.2 cm from the base of the triangle. What is the length (in cm) of each of its atitudes?,9.6,6.4,12.8,7.2,2022,E,19th April Shift 2,A,Mensuration,Plane Figures
"The number of cars passing the road near a colony from 6 am to 12 noon has been shown in the following histogram.
What is the maximum change percentage in the number of cars as compared to the previous hour? ( correct to 2 decimal places)
https://cracku.in/media/uploads/image_1dugTNW.png",Decrease of 52.63%,Increase of 55.56%,Increase of 58.5%,Decrease of 58.5%,2022,H,19th April Shift 1,A,Data Interpretation,Histogram
"A shopkeeper offers his customers a discount of 10%. On an item marked at a price of ₹400, which was a little damaged, he offered additional discount of 10%. At what price (in ₹) is the item available to customers?",324,300,340,320,2022,M,19th April Shift 1,A,Arithmetic,Discount
"If each of the two numbers $$5^{16}$$ and $$5^{25}$$ are divided by 6, the remainders are $$R_{1}$$ and $$R_{2}$$, respectively. What is the value of $$\frac{R_{1}+R_{2}}{R_{2}}$$?",$$\frac{6}{5}$$,$$\frac{1}{5}$$,$$\frac{5}{6}$$,$$\frac{1}{6}$$,2022,H,19th April Shift 1,A,Arithmetic,Divisibility & Remainder
"If $$A = 60^{\circ}$$, ·what is the value of: $$\frac{10\sin \frac{A}{2}+8\cos A}{7\sin \frac{3A}{2}-12\cos A}$$?",9,10,12,7,2022,M,19th April Shift 1,A,Trigonometry,Trigonometric Ratios and Identities
"If $$x + y + z = 7, xy + yz + zx = 8$$, then what is the value of $$x^{3} + y^{3} + z^{3} - 3xyz$$?",175,125,150,200,2022,E,19th April Shift 1,A,Algebra,Identities
"Let $$\triangle ABC - \triangle$$ QPR and (Area of $$\triangle$$ ABC) : (Area of $$\triangle$$ PQR) = 121 : 64. If QP = 14.4 cm, PR = 12 cm and AC = 18 cm, then what is the length of AB?",19.8 cm,32.4 cm,21.6 cm,16.2 cm,2022,E,19th April Shift 1,A,Geometry,Congruence and Similarity of Triangles
"PQ and RS are two parallel chords of a circle of length 14 cm and 48 cm. respectively, and lie on the same side of the centre O. If the distance between the chords is 17 cm, what is the radius (i.n cm) of the circle?",25,24,28,20,2022,E,19th April Shift 1,A,Geometry,"Circles,Chords & Tangents"
"The following bar graph shows receipts and expenditure by a business firm over 5 years. Gain = Receipts-
Expenditure.
In which year did the company gain the maximum amount?
https://cracku.in/media/uploads/image_G2TtQri.png",2017,2020,2016,2018,2022,H,19th April Shift 3,B,Data Interpretation,Bar Graph
"The bar graph shows the number of people who visited Mall A and Mall B on different days of a week.
https://cracku.in/media/uploads/image_9aRWuzn.png                                                                                                                                                                                                                                                             What is the ratio of the number of people visiting Mall A on Thursday. Saturday and Sunday together to the number of people visiting Mall B on these three days together?",25:27:00,81 : 80,27:25:00,80 : 81,2022,M,19th April Shift 3,B,Data Interpretation,Bar Graph
Simplify the following expression:$$\frac{\cos A}{1-\tan A} + \frac{\sin A}{1- \cot A} - \sin A$$,$$1+ \sin A$$,$$\cos A$$,$$\left(1+ \sin A\right) \cos A$$,$$1+ \cos A$$,2022,M,19th April Shift 3,B,Trigonometry,Trigonometric Ratios and Identities
"In a right-angled triangle, the lengths of the medians from the vertices of acute angles are 7 cm and $$4\sqrt{6}$$ cm. What is the length of the hypotenuse of the triangle (in cm)?",$$3.5 + 2\sqrt{6}$$,$$2\sqrt{29}$$,$$\sqrt{29}$$,$$\frac{5}{2} \sqrt{29}$$,2022,E,19th April Shift 3,B,Mensuration,Plane Figures
If 8A5146B is divisible by 88 then what is the value of $$A^{8}$$ ?,27,81,12,64,2022,E,19th April Shift 2,B,Arithmetic,Divisibility & Remainder
"If A = $$10^{\circ}$$, what is the value of:$$\frac{12 \sin 3A + 5\cos \left(5A-5^{\circ}\right)}{9\sin \frac{9A}{2}- 4\cos \left(5A+10^{\circ}\right)}$$",$$\frac{6\sqrt{2} + 5}{\left(9-2\sqrt{2}\right)}$$,$$\frac{6\sqrt{2}-5}{\left(9-2\sqrt{2}\right)}$$,$$\frac{\left(9-2\sqrt{2}\right)}{6\sqrt{2} + 5}$$,$$\frac{6\sqrt{2} + 5}{\left(9+2\sqrt{2}\right)}$$,2022,E,18th April Shift 3,A,Trigonometry,Trigonometric Ratios and Identities
The area of similar triangles PQR and MNT are 196 $$cm^{2}$$ and 169 $$cm^{2}$$ respectively. If the longest side of the larger $$\triangle$$ PQR be 28 cm then what is the length (in cm) of the longest side of the smaller $$\triangle$$ MNT?,26,24,25,27,2022,E,18th April Shift 3,A,Mensuration,Plane Figures
The area of a cardboard (in $$cm^{2}$$) needed to make a closed box of size 20 cm x 10 cm x 8 cm will be:,880,690,750,960,2022,H,18th April Shift 3,A,Mensuration,Plane Figures
Find the value of the following expression:$$\frac{3\div\times2+5-2}{3\times3-2}$$,$$\frac{9}{7}$$,$$\frac{19}{3}$$,$$\frac{4}{7}$$,$$\frac{4}{3}$$,2022,E,18th April Shift 3,A,Arithmetic,Simplification
"LCM of two numbers is 22 times their HCF. If one of the numbers is 132 and the sum of LCM and HCF is 276, then what is the other number?",24,30,25,20,2022,E,18th April Shift 3,A,Arithmetic,HCF & LCM
"In $$\triangle$$ PQR, S is a point on the side QR such that PS is the bisector of $$\angle$$ QPR. If PQ = 12 cm, QS = 3 cm and QR = 7 cm, then what is the length of side PR?",18 cm,14 cm,15 cm,16 cm,2022,M,18th April Shift 3,A,Geometry,Congruence and Similarity of Triangles
"The sides AB and AC of $$\triangle$$ ABC are produced to points D and E. respectively. The bisectors of $$\angle$$ CBD and $$\angle$$ BCE meet at P. If $$\angle A = 88^{\circ}$$,then the measure of $$\angle$$ P is:",$$46^{\circ}$$,$$56^{\circ}$$,$$51^{\circ}$$,$$61^{\circ}$$,2022,M,18th April Shift 2,A,Geometry,Congruence and Similarity of Triangles
"What is the greatest four-digit number which on being divided by 6, 7 and 8 leaves 4, 5 and 6 as remainders, respectively?",9910,9920,9921,9912,2022,H,18th April Shift 2,A,Arithmetic,Divisibility & Remainder
"If $$2\sqrt{2}x^{3} - 3\sqrt{3}y^{3} = \left(\sqrt{2}x-\sqrt{3}y\right) \left(Ax^{2}-Bxy+Cy^{2}\right)$$, then the value of $$\sqrt{\left(A^{2}+B^{2}+C^{2}\right)}$$",$$\sqrt{19}$$,$$\sqrt{11}$$,$$\sqrt{17}$$,$$\sqrt{21}$$,2022,E,18th April Shift 2,A,Algebra,Identities
"AB is a chord of a circle with centre O. while PAQ is the tangent at A. R is a point on the mirror are AB. If $$\angle BAQ = 70^{\circ}$$, then find the measure of $$\angle$$ ARB.",$$110^{\circ}$$,$$125^{\circ}$$,$$70^{\circ}$$,$$145^{\circ}$$,2022,E,18th April Shift 2,A,Geometry,"Circles,Chords & Tangents"
The value of $$\frac{46+\frac{3}{4}of 32-6}{37-\frac{3}{4}of \left(34+6\right)}$$,$$\frac{64}{7}$$,$$\frac{54}{7}$$,$$\frac{44}{7}$$,$$\frac{34}{7}$$,2022,E,18th April Shift 1,A,Algebra,Identities
Two poles of heights 10 m and 17 m are fixed to a level ground. The distance between the bottom of the poles is 24 m. What is the distance (in m) between their tops?,25,24,30,27,2022,E,18th April Shift 1,A,Arithmetic,Profit & Loss
"What is the amount (in ₹) of a sum of ₹32,000 at 20% per annum for 9 months, compounded quarterly?","37,044","35,087","32,000","30,876",2022,E,18th April Shift 1,A,Arithmetic,SI & CI
"Exactly midway between the foot of two towers P and Q, the angles of elevation of their tops are $$45^{\circ}$$ and $$60^{\circ}$$, respectively. The ratio of the heights of P and Q is:",1 : $$\sqrt{3}$$,03:01,01:03,$$\sqrt{3}$$ : 1,2022,E,18th April Shift 1,A,Trigonometry,Height & Distance
"Shyam drives his car 30 km at, a speed of 45 km/h and. for the next 1 h 20 m, he drives it at a speed of 51 km/h. Find his average speed (in km/h) for the entire jomney.",49,48,48.5,47,2022,E,18th April Shift 1,A,Arithmetic,"Speed, Time & Distance"
"A man, a woman and a boy can complete a work in 3, 12 and 12 days, respectively. How many boys must assist one man and one woman to complete the same work in one day?",5,7,4,9,2022,E,18th April Shift 1,A,Arithmetic,Time & Work
A circle with centre O has and 15 cm. D is a point on the circle such that a 24 cm long chord AB is bisected by OD at point C. Find the length of CD (in cm).,9,6,4,10,2022,E,18th April Shift 3,B,Mensuration,Plane Figures
"AB is a diameter of a circle with centre O. The tangent at a point C on the circle and AB. when produced, meet at the point P. If $$\angle APC = 38^{\circ}$$, when what is the measure of $$\angle$$ PCB?",$$23^{\circ}$$,$$26^{\circ}$$,$$29^{\circ}$$,$$19^{\circ}$$,2022,M,18th April Shift 3,B,Geometry,"Circles,Chords & Tangents"
"A manufacturer who marks the price of an article at ₹1800, sells it to a dealer at a discount of 15%. The dealer gets a further discount of 8%, on his net payment for paying in cash. What amount (to the nearest rupee) does the dealer pay to  the manufacturer?","1,500","1,408","1,530","1,378",2022,M,18th April Shift 3,B,Arithmetic,Discount
"The given bar graph shows the income and expenditure (in crores ₹) of a company over 5 years. from 2011 to 2018.
Study the bar graph and answer the question that follows.                                                                                                                                                                                  https://cracku.in/media/uploads/image_CYdOnz2.png                                                                                                                                                                                         In which of the following years is the ratio of income to expenditure the minimum?",2017,2018,2014,2016,2022,E,18th April Shift 3,B,Data Interpretation,Bar Graph
"The bar graph shows the number of people who visited Mall A and Mall B on different days of a week.                                                                                                https://cracku.in/media/uploads/image_lCtvBkK.png                                                                                                                                                                                                                                                                 The total number of people visiting Mall A on Monday. Tuesday, Friday and Sunday is what percentage of the total number of people visiting Mall B on Tuesday, Thursday, Saturday and Sunday? Express your answer correct to one place of decimal.",86.50%,92.30%,95.70%,82.40%,2022,H,18th April Shift 3,B,Data Interpretation,Bar Graph
"Three years ago, the ratio of the age of father to that of his son was 8 : 3. After 4 years, their ages will be in the ratio 11 : 5. What is the present age (in years) of the father.",52,51,48,55,2022,M,18th April Shift 3,B,Arithmetic,Age
The expression $$\left(\cos^{6} \theta + \sin^{6} \theta\right)\left(\tan^{2} \theta + \tan^{2} \theta + 2\right) + 1$$,1,-2,0,-1,2022,E,18th April Shift 2,B,Trigonometry,Trigonometric Ratios and Identities
A railway engine passes two bridges of lengths 400 m and 235 m and 100 seconds and 60 seconds. respectively. Twice the length of the railway engine (in m) is:,24,25,12.5,12,2022,M,18th April Shift 2,B,Arithmetic,Problem on Trains
The circumference of the base of a right circular cylinder is 62.8 cm and its volume is 8792 $$cm^{3}$$ . What is the curved surface area (in $$cm^{2}$$) of the cylinder (Take $$\pi$$ = 3.14),1695.6,1758.4,1632.8,1570.2,2022,H,18th April Shift 2,B,Mensuration,Solid Figures
"An isosceles $$\triangle$$ MNP is inscribed in a circle. If MN= MP= $$165\sqrt{5}$$cm, and NP= 32 cm, what is the radius (in cm) of the circle?",20,18,$$20\sqrt{5}$$,$$18\sqrt{5}$$,2022,E,13th April Shift 3,A,Geometry,"Circles,Chords & Tangents"
